variation,magnitude,unit,base_images,evaluated_images,mean_score,false_positive_rate,threshold
brightness,0,percent,100,100,0.0022098838991951196,0.06,0.0028053712332621215
brightness,5,percent,100,200,0.0024123386945575477,0.22,0.0028053712332621215
brightness,10,percent,100,200,0.00301453480089549,0.47,0.0028053712332621215
brightness,20,percent,100,200,0.005340980933979154,0.98,0.0028053712332621215
brightness,30,percent,100,200,0.008846794553101063,1.0,0.0028053712332621215
position,0,pixels,100,100,0.0022098838991951196,0.06,0.0028053712332621215
position,2,pixels,100,200,0.0022477544768480582,0.085,0.0028053712332621215
position,5,pixels,100,200,0.002367037171497941,0.165,0.0028053712332621215
position,10,pixels,100,200,0.0024231679807417096,0.195,0.0028053712332621215
position,20,pixels,100,200,0.0027851981262210757,0.44,0.0028053712332621215
rotation,0,degrees,100,100,0.0022098838991951196,0.06,0.0028053712332621215
rotation,3,degrees,100,200,0.0018935976887587457,0.0,0.0028053712332621215
rotation,5,degrees,100,200,0.0019472046772716566,0.005,0.0028053712332621215
rotation,10,degrees,100,200,0.0022257531818468124,0.075,0.0028053712332621215
rotation,20,degrees,100,200,0.0029140942043159156,0.52,0.0028053712332621215
